Feature,Importance
Fwd Header Length,25.687350063300165
Avg Packet Size,13.802355584917755
Flow Bytes/s,10.970134219499448
Packet Length Max,8.635969083714798
Fwd Packets Length Total,8.30048052415044
Flow IAT Min,6.80494280983938
Packet Length Min,4.837693708939021
Fwd Packets/s,3.133829950227497
Flow Duration,2.856201070489422
Fwd IAT Min,2.837523439775347
Avg Fwd Segment Size,1.9751266250002797
Fwd IAT Total,1.6905032303355372
Flow IAT Max,1.4909478720800997
Init Fwd Win Bytes,1.0607520347432984
Flow Packets/s,1.030201914957762
Fwd Packet Length Max,0.8058914397576993
Fwd IAT Max,0.6669434184207197
Bwd IAT Max,0.45103806179138
Bwd Packets/s,0.4398993139479373
Fwd Packet Length Min,0.3805065732539141
URG Flag Count,0.3635559389154611
Fwd Packet Length Mean,0.3547183481269495
Init Bwd Win Bytes,0.3251694154637296
Subflow Fwd Packets,0.24469960440347663
Down/Up Ratio,0.2332946521603317
Fwd Act Data Packets,0.1826502347956223
Bwd Packet Length Mean,0.16377384337047643
Bwd IAT Total,0.1476321920206885
ACK Flag Count,0.09299359249201729
Bwd Header Length,0.03322123910932762
Bwd Packet Length Min,0.0
